-가,어미
-가,접사
-가,접사
-가,접사
-가,접사
-가,접사
-가,접사
-가,어미
-가,어미
-가뇨,어미
-가니,어미
-가니오,어미
-가니와,어미
-가라,어미
-가량,접사
-가마리,접사
-가시니,어미
-가옷,접사
-가웃,접사
-가웆,접사
-가지라,어미
-가지다,어미
-각,접사
-간,접사
-간디,어미
-간디니,어미
-간디니라,어미
-간디라,어미
-간마,어미
-간마,어미
-갈,접사
-감,접사
-갑다,접사
-개,접사
-개니라,어미
-객,접사
-거,어미
-거-,어미
-거고,어미
-거고나,어미
-거나,어미
-거나,어미
-거냐,어미
-거녀,어미
-거뇨,어미
-거늘,어미
-거늘,어미
-거니,어미
-거니,어미
-거니라,어미
-거니오,어미
-거니와,어미
-거니나,어미
-거니,어미
-거다,어미
-거던,어미
-거드면,어미
-거든,어미
-거든,어미
-거들랑,어미
-거디라,어미
-거라,어미
-거라,어미
-거를,어미
-거리,접사
-거리,접사
-거리,접사
-거리다,접사
-거마,어미
-거사,어미
-거스라,어미
-거시나,어미
-거시뇨,어미
-거시늘,어미
-거시니,어미
-거시니,어미
-거시니오,어미
-거시니와,어미
-거시다,어미
-거시든,어미
-거시,어미
-거시,어미
-거시,어미
-거신,어미
-거신마,어미
-거아,어미
-거야,어미
-거이다,어미
-거지라,어미
-거지다,어미
-거징이다,어미
-거,어미
-거,어미
-거,어미
-거,어미
-거,어미
-거다,어미
-건,어미
-건,어미
-건,어미
-건,어미
-건고,어미
-건대,어미
-건대,어미
-건댄,어미
-건덴,어미
-건마는,어미
-건마,어미
-건마,어미
-건만,어미
-건져,어미
-걸랑,어미
-걸아,어미
-것다,어미
-것다,어미
-것다,접사
-것마는,어미
-것마,어미
-겄-,어미
-게,어미
-게,어미
-게,어미
-게,북한어
-게,어미
-게-,어미
-게겐,어미
-게끔,어미
-게나,어미
-게라,어미
-게르,어미
-게리다,접사
-게시리,어미
-게아,어미
-게야,어미
-게노잇가,어미
-게,어미
-게다,어미
-겐,어미
-겟-,어미
-겠-,어미
-결,접사
-경,접사
-경,접사
-곁,접사
-계,접사
-계,접사
-계,접사
-계,접사
-계,접사
-고,어미
-고,어미
-고,어미
-고,접사
-고,어미
-고나,어미
-고녀,어미
-고는,어미
-고는,어미
-고뎌,어미
-고도,어미
-고라,어미
-고라쟈,어미
-고려,어미
-고말고,어미
-고사,어미
-고서,어미
-고야,어미
-고야,어미
-고자,어미
-고장,어미
-고쟈,어미
-고저,어미
-고져,어미
-고졔니,어미
-고프다,
-고,어미
-고,어미
-곡,접사
-곡,어미
-곤,어미
-곤,어미
-곤,
-곤,어미
-곤,어미
-곤대,어미
-곤여,어미
-곰,어미
-곰,접사
-곱-,접사
-공,접사
-공,접사
-곶,접사
-과,접사
-과댜,어미
-과뎌,어미
-과라,어미
-과소라,어미
-과쟈,어미
-과녜니라,어미
-과여,어미
-과다,어미
-관,접사
-관,접사
-관,접사
-관대,어미
-관데,어미
-관뎌,어미
-관듸,어미
-관,어미
-광,접사
-광,접사
-괴야,어미
-구,접사
-구,접사
-구,조사
-구,어미
-구-,접사
-구나,어미
-구래,어미
-구레,어미
-구려,어미
-구로,어미
-구료,어미
-구마는,어미
-구만,어미
-구먼,어미
-구면,어미
-국,접사
-국,접사
-군,어미
-군,접사
-궂다,접사
-권,접사
-권,접사
-권,접사
-귀,접사
-그러,어미
-그레,어미
-그로,어미
-금,접사
-급,접사
-긔,어미
-긧고,어미
-기,어미
-기,접사
-기,접사
-기,접사
-기,접사
-기,접사
-기,접사
-기,어미
-기-,접사
-기나,어미
-기로,어미
-기로니,어미
-기로서,어미
-기로서니,어미
-기로선들,어미
-기에,어미
-기요,어미
-길래,어미
-까장,접사
-까짓,접사
-깔,접사
-꺼니,어미
-꺼마,어미
-껏,접사
-께,어미
-께,접사
-껜,
-꼬,어미
-꼴,접사
-꾸러기,접사
-꾸마,어미
-꾼,접사
-끔,접사
-끼,접사
-끼리,접사
-나,어미
-나,어미
-나,어미
-나,어미
-나-,어미
-나기,접사
-나뇨,어미
-나니,어미
-나다,접사
-나다,어미
-나도,어미
-나든,어미
-나따나,어미
-나라,어미
-나마,어미
-나새나,어미
-나시든,어미
-나시,어미
-나이까,어미
-나이다,어미
-나지라,어미
-나,어미
-나,어미
-나,접사
-난,어미
-난,접사
-남,어미
-남,접사
-남동,어미
-낭,접사
-내,접사
-내,접사
-내기,접사
-냐,어미
-냐고,어미
-냐고,어미
-냐네,
-냐는,
-냐니,
-냐니까,
-냐며,
-냐면,
-냐면서,
-냔,
-냘,
-냬,
-냬요,
-냰,어미
-너라,어미
-너이다,어미
-네,어미
-네,접사
-네,어미
-녀,접사
-녀,어미
-년,접사
-노,어미
-노,어미
-노-,어미
-노니,어미
-노니,어미
-노니,어미
-노니라,어미
-노닛가,어미
-노다,어미
-노라,어미
-노라,어미
-노라,어미
-노라고,어미
-노라니,어미
-노라니까,어미
-노라면,어미
-노매,어미
-노매라,어미
-노믜라,어미
-노소니,어미
-노소라,어미
-노소다,어미
-노쇠,어미
-노왜라,어미
-노이다,어미
-노잇가,어미
-노,어미
-노라,어미
-노다,어미
-논,어미
-논가,어미
-논뎌,어미
-논디라,어미
-논,어미
-놋다,어미
-놋도다,어미
-놋,어미
-농,접사
-농이다,어미
-뇌,어미
-뇌,어미
-뇌다,어미
-뇨,어미
-누,어미
-누나,어미
-누라구,어미
-누만,어미
-누먼,어미
-뉘,접사
-느냐,어미
-느냐고,어미
-느냐고,
-느냐네,
-느냐는,
-느냐니,
-느냐니까,
-느냐며,
-느냐면,
-느냐면서,
-느냔,
-느냘,
-느냬,
-느냬요,
-느뇨,어미
-느니,어미
-느니,어미
-느니,어미
-느니,어미
-느니라,어미
-느니만,어미
-느니만치,어미
-느니만큼,어미
-느라,어미
-느라고,어미
-느라니,어미
-느라니까,어미
-느라면,어미
-느마,어미
-느매,어미
-느슨다,어미
-는,어미
-는-,어미
-는가,어미
-는감,어미
-는강,어미
-는걸,어미
-는고,어미
-는공,어미
-는과니,
-는교,어미
-는구나,어미
-는구려,어미
-는구료,어미
-는구마,어미
-는구만,어미
-는구매,어미
-는구먼,어미
-는구면,어미
-는군,어미
-는궈니,어미
-는다,어미
-는다,어미
-는다,어미
-는다고,어미
-는다고,어미
-는다고,
-는다꼬,어미
-는다나,어미
-는다냐,
-는다네,어미
-는다느냐,
-는다느니,어미
-는다는,
-는다니,어미
-는다니,어미
-는다니까,어미
-는다더라,어미
-는다마는,어미
-는다만,어미
-는다며,어미
-는다면,어미
-는다면서,어미
-는다손,어미
-는다오,어미
-는다이,어미
-는다지,어미
-는단,
-는단다,어미
-는달,
-는담,어미
-는답니까,어미
-는답니다,어미
-는답디까,
-는답디다,
-는답시고,어미
-는대,어미
-는대도,
-는대서,
-는대서야,
-는대야,
-는대요,어미
-는댄다,어미
-는댔자,
-는데,어미
-는뎁쇼,어미
-는도다,어미
-는디,어미
-는디,어미
-는맥세,어미
-는바,어미
-는이,어미
-는지,어미
-는지고,어미
-는지라,어미
-늬라고,어미
-니,어미
-니,어미
-니,어미
-니,어미
-니,어미
-니,어미
-니,접사
-니까,어미
-니까나,어미
-니까느루,어미
-니까는,어미
-니까니,어미
-니깐,어미
-니꺼니,어미
-니께니,어미
-니껴,어미
-니끼니,어미
-니라,어미
